Contig	Position	401548 Intra_locus_pi	401548 Locus_Depth	401640 Intra_locus_pi	401640 Locus_Depth	401577 Intra_locus_pi	401577 Locus_Depth	401656 Intra_locus_pi	401656 Locus_Depth	401591 Intra_locus_pi	401591 Locus_Depth	401570 Intra_locus_pi	401570 Locus_Depth	401563 Intra_locus_pi	401563 Locus_Depth	7083 Intra_locus_pi	7083 Locus_Depth	401558 Intra_locus_pi	401558 Locus_Depth	401636 Intra_locus_pi	401636 Locus_Depth	401567 Intra_locus_pi	401567 Locus_Depth	401652 Intra_locus_pi	401652 Locus_Depth	401581 Intra_locus_pi	401581 Locus_Depth	401554 Intra_locus_pi	401554 Locus_Depth	401582 Intra_locus_pi	401582 Locus_Depth	401586 Intra_locus_pi	401586 Locus_Depth	401594 Intra_locus_pi	401594 Locus_Depth	401648 Intra_locus_pi	401648 Locus_Depth	401593 Intra_locus_pi	401593 Locus_Depth	401624 Intra_locus_pi	401624 Locus_Depth	401632 Intra_locus_pi	401632 Locus_Depth	401660 Intra_locus_pi	401660 Locus_Depth	401580 Intra_locus_pi	401580 Locus_Depth	401568 Intra_locus_pi	401568 Locus_Depth	401583 Intra_locus_pi	401583 Locus_Depth	401569 Intra_locus_pi	401569 Locus_Depth	401550 Intra_locus_pi	401550 Locus_Depth	401604 Intra_locus_pi	401604 Locus_Depth	401573 Intra_locus_pi	401573 Locus_Depth	12816 Intra_locus_pi	12816 Locus_Depth	401588 Intra_locus_pi	401588 Locus_Depth	401560 Intra_locus_pi	401560 Locus_Depth	401556 Intra_locus_pi	401556 Locus_Depth	401608 Intra_locus_pi	401608 Locus_Depth	401564 Intra_locus_pi	401564 Locus_Depth	401561 Intra_locus_pi	401561 Locus_Depth	401595 Intra_locus_pi	401595 Locus_Depth	401571 Intra_locus_pi	401571 Locus_Depth	401592 Intra_locus_pi	401592 Locus_Depth	401614 Intra_locus_pi	401614 Locus_Depth	401658 Intra_locus_pi	401658 Locus_Depth	401557 Intra_locus_pi	401557 Locus_Depth	401600 Intra_locus_pi	401600 Locus_Depth	401552 Intra_locus_pi	401552 Locus_Depth	401589 Intra_locus_pi	401589 Locus_Depth	401606 Intra_locus_pi	401606 Locus_Depth	401579 Intra_locus_pi	401579 Locus_Depth	401576 Intra_locus_pi	401576 Locus_Depth	401616 Intra_locus_pi	401616 Locus_Depth	401566 Intra_locus_pi	401566 Locus_Depth	401553 Intra_locus_pi	401553 Locus_Depth	138538 Intra_locus_pi	138538 Locus_Depth	All_samples_combined Intra_locus_pi	All_samples_combined Locus_Depth
CP067102.1	1079364	0.198830409356725	19	0.503267973856209	18	0.527472527472527	14	0.441176470588235	17	0.478947368421053	20	0.5	4	0.5	16	0	11	0.454545454545454	22	0.484848484848485	12	0.431159420289855	24	0	10	0.142857142857143	14	0.466666666666667	10	0.533333333333333	6	0.545454545454545	11	0.419047619047619	15	0.476190476190476	7	0.545454545454545	11	0.518518518518518	27	0.5	16	0.436363636363636	11	0.458333333333333	16	0.409090909090909	12	0.519480519480519	22	0.461538461538462	13	0.362637362637363	14	0.366013071895425	18	0.509090909090909	11	0.5	4	0.303030303030303	12	0.491228070175439	19	0.538461538461539	13	0.394736842105263	20	0.409356725146199	19	0.555555555555556	9	0.222222222222222	9	0.533333333333333	15	0.545454545454545	12	0.466666666666667	10	0.173160173160173	22	0.43956043956044	14	0.409356725146199	19	0.516923076923077	26	0.366013071895425	18	0.515873015873016	28	0.545454545454545	11	0.514285714285714	21	0.25	8	0.495238095238095	21	0.466666666666667	10	0.514285714285714	15	0.482434319920186	776
CP067102.1	1079451	0.535714285714286	8	0.491228070175439	19	0.533333333333333	10	0.533333333333333	10	0.555555555555556	10	0.476190476190476	7	0.555555555555556	9	0.571428571428571	7	0.466666666666667	10	0.512820512820513	13	0.512820512820513	13	0.461538461538462	13	0.409090909090909	12	0.5	9	0.6	6	0.5	9	0.25	8	0.6	6	0.476190476190476	7	0.533333333333333	15	0.5	16	0.571428571428571	8	0.476190476190476	7	0	3	0.527472527472527	14	0	6	0.53030303030303	12	0.525	16	0.5	9	0	3	0.533333333333333	6	0.5	16	0.571428571428571	7	0.419047619047619	15	0.571428571428571	7	0.333333333333333	6	0.555555555555556	9	0.5	9	0.461538461538462	13	0.545454545454545	11	0.506493506493507	22	0.533333333333333	10	0.538461538461539	13	0.466666666666667	21	0	2	0.529411764705882	17	0.512820512820513	13	0.527472527472527	14	0.6	6	0.456140350877193	19	0.571428571428571	7	0.555555555555556	9	0.493400566526709	547
CP067102.1	1079453	0	9	0.409356725146199	19	0.2	10	0.466666666666667	10	0	10	0.533333333333333	6	0.555555555555556	9	0.476190476190476	7	0.555555555555556	10	0.484848484848485	12	0	14	0	13	0	12	0.555555555555556	9	0.571428571428571	7	0	10	0	8	0.333333333333333	6	0.571428571428571	7	0.247619047619048	15	0	16	0.535714285714286	8	0.476190476190476	7	0.666666666666667	3	0.494505494505495	14	0.333333333333333	6	0	12	0.4	16	0.428571428571429	8	0.666666666666667	3	0	6	0.133333333333333	15	0	7	0.247619047619048	15	0.476190476190476	7	0	6	0.428571428571429	8	0.25	8	0.461538461538462	13	0.327272727272727	11	0.367965367965368	22	0.181818181818182	11	0.461538461538462	13	0.323809523809524	21	0	2	0.294117647058823	18	0.166666666666667	12	0.494505494505495	14	0.4	5	0.198830409356725	19	0.476190476190476	7	0.466666666666667	10	0.32014652014652	546
CP067102.1	1079458	0.535714285714286	8	0.470588235294118	18	0.571428571428571	7	0.555555555555556	9	0.476190476190476	7	0.476190476190476	7	0.571428571428571	8	0.5	4	0.466666666666667	10	0.533333333333333	10	0.538461538461539	13	0.476190476190476	7	0.222222222222222	9	0.571428571428571	7	0.5	4	0.466666666666667	10	0.285714285714286	7	0.666666666666667	4	0.476190476190476	7	0.53030303030303	12	0.461538461538462	13	0.533333333333333	6	0.666666666666667	3	0	2	0.555555555555556	9	0.4	5	0.555555555555556	9	0.545454545454545	12	0.535714285714286	8	0	3	0.533333333333333	6	0.494505494505495	14	0.666666666666667	3	0.436363636363636	11	0.6	6	0	4	0.571428571428571	7	0.6	5	0.484848484848485	12	0.535714285714286	8	0.521052631578947	20	0	4	0.535714285714286	8	0.458333333333333	16	0	4	0.53030303030303	12	0.436363636363636	11	0.545454545454545	12	0.6	5	0.485294117647059	17	0.6	5	0.571428571428571	8	0.494558683960772	436
CP067102.1	1079460	0.535714285714286	8	0.470588235294118	18	0.571428571428571	7	0.555555555555556	9	0.476190476190476	7	0.476190476190476	7	0.571428571428571	8	0.5	4	0.466666666666667	10	0.533333333333333	10	0.538461538461539	13	0.476190476190476	7	0.222222222222222	9	0.571428571428571	7	0.5	4	0.466666666666667	10	0.285714285714286	7	0.666666666666667	4	0.476190476190476	7	0.53030303030303	12	0.461538461538462	13	0.533333333333333	6	0.666666666666667	3	0	2	0.555555555555556	9	0.4	5	0.555555555555556	9	0.545454545454545	12	0.535714285714286	8	0	3	0.533333333333333	6	0.494505494505495	14	0.666666666666667	3	0.436363636363636	11	0.6	6	0	4	0.571428571428571	7	0.6	5	0.484848484848485	12	0.535714285714286	8	0.521052631578947	20	0	4	0.535714285714286	8	0.458333333333333	16	0	4	0.53030303030303	12	0.436363636363636	11	0.545454545454545	12	0.6	5	0.485294117647059	17	0.6	5	0.571428571428571	8	0.494558683960772	436
CP067102.1	1079463	0.535714285714286	8	0.470588235294118	18	0.571428571428571	7	0.555555555555556	9	0.476190476190476	7	0.476190476190476	7	0.571428571428571	8	0.5	4	0.466666666666667	10	0.533333333333333	10	0.538461538461539	13	0.476190476190476	7	0.222222222222222	9	0.571428571428571	7	0.5	4	0.466666666666667	10	0.285714285714286	7	0.666666666666667	4	0.476190476190476	7	0.53030303030303	12	0.461538461538462	13	0.533333333333333	6	0.666666666666667	3	0	2	0.555555555555556	9	0.4	5	0.555555555555556	9	0.545454545454545	12	0.535714285714286	8	0	3	0.533333333333333	6	0.494505494505495	14	0.666666666666667	3	0.436363636363636	11	0.6	6	0	4	0.571428571428571	7	0.6	5	0.484848484848485	12	0.535714285714286	8	0.521052631578947	20	0	4	0.535714285714286	8	0.458333333333333	16	0	4	0.53030303030303	12	0.436363636363636	11	0.545454545454545	12	0.6	5	0.485294117647059	17	0.6	5	0.571428571428571	8	0.494558683960772	436
CP067102.1	1079532	0.6	5	0	8	0.5	4	0.545454545454545	12	0.2	10	0	3	0.476190476190476	7	0.533333333333333	6	0.53030303030303	12	0.428571428571429	8	0.512820512820513	13	0.4	5	0.666666666666667	3	0.476190476190476	7	0	6	0.6	5	0.5	4	0	2	0.6	6	0.555555555555556	9	0	2	0.666666666666667	4	0.571428571428571	7	0.333333333333333	6	0.571428571428571	8	0.6	6	0.533333333333333	6	0.535714285714286	8	0.6	6	0	5	0.4	5	0.571428571428571	7	0.533333333333333	10	0.666666666666667	3	0.555555555555556	9	0.666666666666667	4	0.388888888888889	9	0.6	5	0.6	6	1	2	0.555555555555556	9	0.476190476190476	7	0.6	6	0.533333333333333	10	0.555555555555556	9	0.484848484848485	12	0.666666666666667	3	0	9	NA	NA	0.428571428571429	8	0.5	4	0.428571428571429	8	0.494460344494583	338
CP067102.1	1079535	0.6	5	0	8	0.5	4	0.545454545454545	12	0.2	10	0	3	0.476190476190476	7	0.533333333333333	6	0.53030303030303	12	0.428571428571429	8	0.512820512820513	13	0.4	5	0.666666666666667	3	0.476190476190476	7	0	6	0.6	5	0.5	4	0	2	0.6	6	0.555555555555556	9	0	2	0.666666666666667	4	0.571428571428571	7	0.333333333333333	6	0.571428571428571	8	0.6	6	0.533333333333333	6	0.535714285714286	8	0.6	6	0	5	0.4	5	0.571428571428571	7	0.533333333333333	10	0.666666666666667	3	0.555555555555556	9	0.666666666666667	4	0.388888888888889	9	0.6	5	0.6	6	1	2	0.555555555555556	9	0.476190476190476	7	0.6	6	0.533333333333333	10	0.555555555555556	9	0.484848484848485	12	0.666666666666667	3	0	9	NA	NA	0.428571428571429	8	0.5	4	0.428571428571429	8	0.494460344494583	338
CP067102.1	1079538	0.6	5	0	8	0.5	4	0.545454545454545	12	0.2	10	0	3	0.476190476190476	7	0.533333333333333	6	0.53030303030303	12	0.428571428571429	8	0.512820512820513	13	0.4	5	0.666666666666667	3	0.476190476190476	7	0	6	0.6	5	0.5	4	0	2	0.6	6	0.555555555555556	9	0	2	0.666666666666667	4	0.571428571428571	7	0.333333333333333	6	0.571428571428571	8	0.6	6	0.533333333333333	6	0.535714285714286	8	0.6	6	0	5	0.4	5	0.571428571428571	7	0.533333333333333	10	0.666666666666667	3	0.555555555555556	9	0.666666666666667	4	0.388888888888889	9	0.6	5	0.6	6	1	2	0.555555555555556	9	0.476190476190476	7	0.6	6	0.533333333333333	10	0.555555555555556	9	0.484848484848485	12	0.666666666666667	3	0	9	NA	NA	0.428571428571429	8	0.5	4	0.428571428571429	8	0.494460344494583	338
CP067102.1	1079540	0.6	5	0	8	0.5	4	0.545454545454545	12	0.2	10	0	3	0.476190476190476	7	0.533333333333333	6	0.53030303030303	12	0.428571428571429	8	0.512820512820513	13	0.4	5	0.666666666666667	3	0.476190476190476	7	0	6	0.6	5	0.5	4	0	2	0.6	6	0.555555555555556	9	0	2	0.666666666666667	4	0.571428571428571	7	0.333333333333333	6	0.571428571428571	8	0.6	6	0.533333333333333	6	0.535714285714286	8	0.6	6	0	5	0.4	5	0.571428571428571	7	0.533333333333333	10	0.666666666666667	3	0.555555555555556	9	0.666666666666667	4	0.388888888888889	9	0.6	5	0.6	6	1	2	0.555555555555556	9	0.476190476190476	7	0.6	6	0.533333333333333	10	0.555555555555556	9	0.484848484848485	12	0.666666666666667	3	0	9	NA	NA	0.428571428571429	8	0.5	4	0.428571428571429	8	0.494460344494583	338
CP067102.1	1079544	0.6	5	0	8	0.5	4	0.545454545454545	12	0.2	10	0	3	0.476190476190476	7	0.533333333333333	6	0.53030303030303	12	0.428571428571429	8	0.512820512820513	13	0.4	5	0.666666666666667	3	0.476190476190476	7	0	6	0.6	5	0.5	4	0	2	0.6	6	0.555555555555556	9	0	2	0.666666666666667	4	0.571428571428571	7	0.333333333333333	6	0.571428571428571	8	0.6	6	0.533333333333333	6	0.535714285714286	8	0.6	6	0	5	0.4	5	0.571428571428571	7	0.533333333333333	10	0.666666666666667	3	0.555555555555556	9	0.666666666666667	4	0.388888888888889	9	0.6	5	0.6	6	1	2	0.555555555555556	9	0.476190476190476	7	0.6	6	0.533333333333333	10	0.555555555555556	9	0.484848484848485	12	0.666666666666667	3	0	9	NA	NA	0.428571428571429	8	0.5	4	0.428571428571429	8	0.494460344494583	338
CP067102.1	1079596	0.233333333333333	16	0.476190476190476	15	0.282051282051282	13	0.428571428571429	21	0.220588235294118	17	0.384615384615385	13	0.503267973856209	18	0	15	0.380952380952381	21	0.133333333333333	15	0.137566137566138	28	0	10	0.327272727272727	11	0.263736263736264	14	0.303030303030303	12	0	9	0.355555555555556	10	0.5	4	0.285714285714286	7	0.470769230769231	26	0.509090909090909	11	0.466666666666667	10	0.514285714285714	15	0.533333333333333	15	0.0952380952380952	21	0.362637362637363	14	0.125	16	0.403162055335968	23	0.466666666666667	10	0.533333333333333	6	0	13	0.295566502463054	29	0.282051282051282	13	0.325	16	0.506493506493507	22	0.153846153846154	13	0.303030303030303	12	0.478947368421053	20	0.282051282051282	13	0.285714285714286	7	0.507246376811594	24	0.133333333333333	15	0.545454545454545	12	0.484330484330484	27	0.514705882352941	17	0.0952380952380952	21	0.355555555555556	10	0.476190476190476	15	0	4	0.514619883040936	19	0.25	8	0.484848484848485	12	0.373544679457276	778
CP067102.1	1079962	0.362637362637363	14	0.327272727272727	11	0.428571428571429	8	0.382352941176471	17	0.355555555555556	10	0.545454545454545	11	0.545454545454545	12	0	8	0	16	0.388888888888889	9	0.325	16	0	11	0.388888888888889	9	0.666666666666667	3	0.533333333333333	10	0	13	0.362637362637363	14	0.25	8	0.285714285714286	7	0.519480519480519	22	0	8	0.6	5	0.494505494505495	14	0.512820512820513	13	0.484848484848485	12	0.25	8	0	8	0.282051282051282	13	0.222222222222222	9	0.333333333333333	6	0.125	16	0.189473684210526	20	0.222222222222222	9	0	15	0.529411764705882	17	0.514285714285714	15	0.436363636363636	11	0.181818181818182	11	0.303030303030303	12	0.142857142857143	14	0.133333333333333	15	0	8	0.327272727272727	11	0.4	16	0.222222222222222	9	0.327272727272727	11	0.428571428571429	8	0	3	0	10	0	8	0.461538461538462	13	0	6	0.349018290274855	583
CP067102.1	1079963	0.362637362637363	14	0.327272727272727	11	0.428571428571429	8	0.382352941176471	17	0.355555555555556	10	0.545454545454545	11	0.545454545454545	12	0	8	0	16	0.388888888888889	9	0.325	16	0	11	0.388888888888889	9	0.666666666666667	3	0.533333333333333	10	0	13	0.362637362637363	14	0.25	8	0.285714285714286	7	0.519480519480519	22	0	8	0.6	5	0.494505494505495	14	0.512820512820513	13	0.484848484848485	12	0.25	8	0	8	0.282051282051282	13	0.222222222222222	9	0.333333333333333	6	0.125	16	0.189473684210526	20	0.222222222222222	9	0	15	0.529411764705882	17	0.514285714285714	15	0.436363636363636	11	0.181818181818182	11	0.303030303030303	12	0.142857142857143	14	0.133333333333333	15	0	8	0.327272727272727	11	0.4	16	0.222222222222222	9	0.327272727272727	11	0.428571428571429	8	0	3	0	10	0	8	0.461538461538462	13	0	6	0.349018290274855	583
CP067102.1	1079978	0.142857142857143	14	0.181818181818182	11	0	5	0.327272727272727	11	0.25	8	0.222222222222222	9	0	9	0.533333333333333	6	0.2	10	0	8	0.362637362637363	14	0	11	0.25	8	NA	NA	0.25	8	0	7	0	12	0	6	0.333333333333333	6	0	19	0	8	0	3	0	13	0	13	0	10	0.388888888888889	9	0	5	0.384615384615385	13	0	8	0	6	0.384615384615385	13	0.142857142857143	14	0	5	0.409090909090909	12	0	12	0	13	0	8	0	11	0.2	10	0	9	0	14	0.4	5	0.222222222222222	9	0	13	0	8	0	6	0	5	0	3	0	7	0	7	0	11	0	2	0.149819411640367	467
CP067102.1	1079983	0	12	0.2	10	0	5	0.327272727272727	11	0	7	0.222222222222222	9	0	9	0.533333333333333	6	0.181818181818182	11	0	8	0.303030303030303	12	0	11	0.25	8	0	2	0.25	8	0	7	0	11	0	6	0.285714285714286	7	0	18	0	7	0	3	0	13	0	13	0	9	0.388888888888889	9	0	6	0.436363636363636	11	0	8	0	6	0.384615384615385	13	0	14	0	5	0.409090909090909	12	0	12	0	12	0	8	0	11	0.2	10	0	9	0	14	0	2	0.222222222222222	9	0	13	0	7	0.285714285714286	7	0	5	0	2	0	7	0	6	0	11	0	2	0.135105172564694	454
CP067102.1	1080038	0.538461538461539	13	0.571428571428571	7	0.333333333333333	6	0	11	0.666666666666667	3	0	4	0.6	5	0.6	5	0.6	5	0.666666666666667	3	0.571428571428571	8	0	5	0.5	9	NA	NA	0.6	6	0.5	4	0.285714285714286	7	0	3	0.428571428571429	8	0.533333333333333	10	0.333333333333333	6	0	5	0.533333333333333	6	0.5	9	0.6	5	0.571428571428571	7	0.6	5	0	2	0.666666666666667	3	0	2	0	7	0.466666666666667	10	0.4	5	1	2	0.666666666666667	4	0.6	6	0	9	0.666666666666667	3	0.388888888888889	9	0	7	0.282051282051282	13	0.666666666666667	3	0	2	0.533333333333333	6	0	7	NA	NA	1	2	0.666666666666667	3	0	4	NA	NA	0.666666666666667	3	0.4	5	0.42818202468388	282
CP067102.1	1080039	0.384615384615385	13	0.571428571428571	7	0.533333333333333	6	0.436363636363636	11	0.666666666666667	3	0	4	0.4	5	0.6	5	0.6	5	0.666666666666667	3	0.25	8	0.4	5	0.5	9	NA	NA	0.533333333333333	6	0.666666666666667	3	0.533333333333333	6	0	2	0.25	8	0.25	8	0.6	5	0.6	5	0.333333333333333	6	0.428571428571429	8	0.6	5	0	7	0	5	1	2	0.666666666666667	3	0	2	0.571428571428571	7	0.466666666666667	10	0.4	5	NA	NA	0.666666666666667	4	0.476190476190476	7	0.388888888888889	9	0.666666666666667	3	0.388888888888889	9	0.571428571428571	7	0.494505494505495	14	0.666666666666667	3	NA	NA	0.285714285714286	7	0.571428571428571	7	NA	NA	0	2	0	3	0.5	4	NA	NA	0	3	0.5	4	0.448502477914243	273
CP067102.1	1080043	0.461538461538462	13	0.285714285714286	7	0.533333333333333	6	0.436363636363636	11	0	3	0	4	0.6	5	0	5	0	5	0	3	0.535714285714286	8	0.4	5	0.555555555555556	9	NA	NA	0.333333333333333	6	0.666666666666667	3	0.333333333333333	6	0	2	0.535714285714286	8	0.535714285714286	8	0.6	5	0.6	5	0	6	0.535714285714286	8	0.4	5	0.571428571428571	7	0.6	5	1	2	0.666666666666667	3	1	2	0.571428571428571	7	0.533333333333333	10	0.6	5	NA	NA	0	4	0.476190476190476	7	0.388888888888889	9	0	3	0	9	0.571428571428571	7	0.538461538461538	14	0	3	NA	NA	0.476190476190476	7	0.571428571428571	7	NA	NA	1	2	0.666666666666667	3	0.5	4	NA	NA	0.666666666666667	3	0.5	4	0.46978021978022	273
CP067102.1	1080050	0.133333333333333	15	0.6	5	0.285714285714286	7	0.333333333333333	6	0.666666666666667	3	0.5	4	0	4	0.5	4	0.5	4	0	2	0.222222222222222	9	0	5	0	10	NA	NA	0.533333333333333	6	0	4	0.333333333333333	6	0	4	0	8	0.5	9	0.5	4	0	4	0.666666666666667	4	0	8	0.4	5	0	7	0	5	0	2	1	2	0.666666666666667	3	0.222222222222222	9	0.4	5	0	5	NA	NA	1	2	0.666666666666667	3	0	7	0	2	0.428571428571429	8	0	8	0.233333333333333	16	0	2	NA	NA	0.333333333333333	6	0	4	NA	NA	1	2	0	2	0	4	NA	NA	NA	NA	0	6	0.253204819277108	250
CP067102.1	1080051	0.476190476190476	15	0	4	0.285714285714286	7	0	6	0.666666666666667	3	0	4	0.5	4	0.5	4	0.5	4	0	2	0.5	9	0.4	5	0.533333333333333	10	NA	NA	0.333333333333333	6	0.666666666666667	3	0.6	6	0	3	0.476190476190476	7	0.25	8	0.6	5	0.5	4	0.4	5	0.428571428571429	8	0.4	5	0.476190476190476	7	0.4	5	1	2	0	2	0	3	0.388888888888889	9	0.4	5	0.4	5	NA	NA	1	2	0	3	0	7	1	2	0.5	9	0.535714285714286	8	0.5	16	0	2	NA	NA	0.476190476190476	7	0.5	4	NA	NA	0	2	0	2	0.5	4	NA	NA	NA	NA	0.333333333333333	6	0.43198600855033	249
CP067102.1	1080069	0.466666666666667	10	0.4	5	0.555555555555556	10	0.533333333333333	6	0	4	0.5	4	0	2	0	4	0	3	1	2	0.384615384615385	13	0.666666666666667	3	0.509090909090909	11	NA	NA	0.5	4	0.666666666666667	4	0.571428571428571	7	0	3	0.384615384615385	13	0.6	5	0.666666666666667	3	0.285714285714286	7	0.533333333333333	6	0.181818181818182	11	0.666666666666667	4	0.533333333333333	6	0.533333333333333	6	0.533333333333333	6	0.666666666666667	3	0	2	0.355555555555556	10	0	5	0.571428571428571	7	0	4	NA	NA	0	4	0.535714285714286	8	0	3	0.2	10	0.333333333333333	6	0.458333333333333	16	0.666666666666667	3	NA	NA	0.6	6	0	3	0	2	NA	NA	0	2	0.6	5	1	2	1	2	0.571428571428571	7	0.456235077056653	272
CP067102.1	1080074	0	10	0.285714285714286	7	0.303030303030303	12	0.533333333333333	6	0	4	0	5	1	2	0	5	0	3	0	3	0.325	16	0.666666666666667	3	0.545454545454545	11	NA	NA	0.5	4	0.666666666666667	4	0.25	8	0.5	4	0.166666666666667	12	0	5	0.666666666666667	4	0.222222222222222	9	0	7	0.303030303030303	12	0.5	4	0.571428571428571	8	0.533333333333333	6	0.476190476190476	7	0.666666666666667	3	0	2	0.428571428571429	8	0	5	0.571428571428571	8	0	4	0	2	0	4	0.571428571428571	7	0	3	0	10	0.333333333333333	6	0.366013071895425	18	0	4	NA	NA	0.476190476190476	7	0	3	0	4	NA	NA	NA	NA	0.6	5	0	3	0.666666666666667	3	0.476190476190476	7	0.331467831467831	297
CP067102.1	1080081	0.545454545454545	11	0.571428571428571	7	0.384615384615385	13	0.285714285714286	7	0.5	4	0.4	5	0	2	0.6	5	0	3	0.666666666666667	4	0.494505494505495	14	0.5	4	0.436363636363636	11	NA	NA	0	4	0	4	0.535714285714286	8	0.6	5	0.545454545454545	12	0	7	0.5	4	0.555555555555556	9	0.25	8	0.181818181818182	11	0.6	5	0.285714285714286	7	0.4	5	0.285714285714286	7	0	3	1	2	0.571428571428571	8	0.6	5	0.25	8	0	4	1	2	0.666666666666667	4	0	7	0	3	0.466666666666667	10	0.4	5	0.409356725146199	19	0.5	4	NA	NA	0.533333333333333	6	0.666666666666667	3	0	4	0	2	0	3	0.6	6	0	3	0.666666666666667	3	0.285714285714286	7	0.457558919333206	307
CP067102.1	1080082	0.509090909090909	11	0.571428571428571	7	0.282051282051282	13	0	7	0	4	0.6	5	1	2	0	5	0.666666666666667	3	0.5	4	0.342857142857143	15	0	4	0.181818181818182	11	NA	NA	0	4	0	4	0.535714285714286	8	0.6	5	0.153846153846154	13	0.571428571428571	7	0.5	4	0.222222222222222	9	0.428571428571429	8	0.484848484848485	12	0	5	0.476190476190476	7	0.476190476190476	7	0.285714285714286	7	0.666666666666667	3	1	2	0	7	0	5	0.25	8	0	4	1	2	0	4	0	8	0	4	0.355555555555556	10	0	6	0.336842105263158	20	0.5	4	0	2	0.571428571428571	7	0	3	0	4	0	2	0.666666666666667	3	0	6	0.666666666666667	3	0	3	0.476190476190476	7	0.333650774755471	318
CP067102.1	1080110	0	8	0.535714285714286	8	0.153846153846154	13	0	7	0	7	0.571428571428571	8	0.666666666666667	3	0	8	0	5	0	7	0.180952380952381	21	0	8	0.282051282051282	13	0	2	0.535714285714286	8	0	6	0.355555555555556	10	0.6	5	0.142857142857143	14	0.571428571428571	7	0.4	5	0	12	0.503267973856209	18	0.514705882352941	17	0	5	0.388888888888889	9	0.222222222222222	9	0.533333333333333	10	0	5	1	2	0	12	0.153846153846154	13	0	10	0.388888888888889	9	0.285714285714286	7	0.4	5	0.6	5	0.6	5	0.263736263736264	14	0.222222222222222	9	0.403162055335968	23	0	10	0.666666666666667	3	0.555555555555556	10	0.5	4	0	4	0.285714285714286	7	0.666666666666667	3	0	6	0	4	0.4	5	0.285714285714286	7	0.32073732718894	435
CP067102.1	1080118	0.5	9	0.466666666666667	10	0.476190476190476	15	0	8	0.2	10	0.533333333333333	10	0	3	0.428571428571429	8	0.533333333333333	6	0.285714285714286	7	0.294117647058823	18	0.428571428571429	8	0.43956043956044	14	0	3	0.571428571428571	7	0.4	5	0.53030303030303	12	0.533333333333333	6	0.527472527472527	14	0.571428571428571	7	0.533333333333333	6	0.409090909090909	12	0.350877192982456	19	0.325	16	0.333333333333333	6	0.571428571428571	7	0.555555555555556	10	0.533333333333333	10	0.6	5	NA	NA	0.53030303030303	12	0.53030303030303	12	0.355555555555556	10	0.533333333333333	10	0.285714285714286	7	0.333333333333333	6	0	4	0.4	5	0.527472527472527	14	0.466666666666667	10	0.474308300395257	23	0.509090909090909	11	0.666666666666667	4	0.538461538461538	14	0.666666666666667	3	0	4	0.333333333333333	6	0	4	0.333333333333333	6	0.5	4	0.4	5	0.476190476190476	7	0.489767085925083	452
CP067102.1	1080226	0.641025641025641	13	0.626373626373626	14	0.425	16	0.447619047619048	15	0.485380116959064	19	0.4	16	0.409090909090909	12	0.6	6	0.257142857142857	15	0.714285714285714	7	0.590909090909091	12	0.577075098814229	23	0.690909090909091	11	0.2	10	0.333333333333333	6	0.25	8	0.4	21	0.5	4	0.345454545454546	11	0.294871794871795	13	0.666666666666667	9	0.67032967032967	14	0.105263157894737	19	0.512820512820513	13	0.441176470588235	17	0.153846153846154	13	0.666666666666667	13	0.555555555555556	9	0.285714285714286	7	NA	NA	0.58974358974359	13	0.613333333333333	25	0.511111111111111	10	0.711111111111111	10	0.303030303030303	12	0	10	0.466666666666667	10	0.41025641025641	13	0.67032967032967	14	0.509090909090909	11	0.644444444444444	10	0.684782608695652	24	0.8	5	0.522058823529412	17	0.607142857142857	8	0.384615384615385	13	0.2	10	0.181818181818182	11	0.761904761904762	7	0.571428571428571	8	0.5	9	0.285714285714286	7	0.54162774253818	623
CP067102.1	1080227	0.461538461538462	13	0.362637362637363	14	0.4	16	0.419047619047619	15	0.456140350877193	19	0.4	16	0.409090909090909	12	0.6	6	0.247619047619048	15	0.571428571428571	7	0.166666666666667	12	0.474308300395257	23	0.545454545454545	11	0.2	10	0.333333333333333	6	0.25	8	0.323809523809524	21	0.5	4	0.327272727272727	11	0.282051282051282	13	0.555555555555556	9	0.527472527472527	14	0.105263157894737	19	0.384615384615385	13	0.441176470588235	17	0.153846153846154	13	0.512820512820513	13	0.5	9	0.285714285714286	7	NA	NA	0.512820512820513	13	0.42	25	0.355555555555556	10	0.355555555555556	10	0.303030303030303	12	0	10	0.466666666666667	10	0.282051282051282	13	0.527472527472527	14	0.509090909090909	11	0.533333333333333	10	0.518115942028985	24	0.6	5	0.485294117647059	17	0.428571428571429	8	0.384615384615385	13	0.2	10	0.181818181818182	11	0.571428571428571	7	0.571428571428571	8	0.5	9	0.285714285714286	7	0.442264119781371	623
