catalogNumber,country,stateProvince,decimalLatitude,decimalLongitude,IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions),"IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Subregions), contextual (polygon)",Precipitation - annual (Bio12),Precipitation - seasonality (Bio15),WorldClim 2.1: Precipitation - annual,WorldClim 2.1: Precipitation - seasonality,Radiation - annual mean (Bio20),Radiation - seasonality (Bio23),Temperature - annual mean (Bio01),Temperature - annual range (Bio07),WorldClim 2.1: Temperature - annual mean,WorldClim 2.1: Temperature - annual range,Moisture Index - annual mean (Bio28),Forests of Australia 2018B,National Dynamic Land Cover,Vegetation types - present,NVIS 4.1 Major Vegetation Groups,NVIS 4.1 Major Vegetation Subgroups,Vegetation types - native
102.100.100/12622,Australia,New South Wales,-33.652974,150.267825,Sydney Basin,Wollemi,1135,30,1267,31.644165,16.3,34,12.1,22.8,11.966666,21.9,0.89,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/12475,Australia,Australian Capital Territory,-35.42385,148.796583,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Other forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/15997,Australia,Tasmania,-42.57264,146.77292,Tasmanian South East,South East,561,21,715,17.950445,13.9,49,11.6,23,11.8375,22,0.67,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Other forests and woodlands,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",Other forests and woodlands
102.100.100/401662,Australia,New South Wales,-32.2394,148.36305,Brigalow Belt South,Pilliga,550,19,592,19.3243,18.2,35,17.6,30.2,17.520834,28.400002,0.38,Eucalypt Medium Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/139591,Australia,Western Australia,-31.217296,117.869866,Avon Wheatbelt,Merredin,307,48,315,44.757103,19.6,34,18.6,29.2,18.525,28,0.23,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Chenopod shrubs,samphire shrublands and forblands"
102.100.100/19495,Australia,New South Wales,-33.60955,150.7324,Sydney Basin,Cumberland,821,37,844,33.159916,17.1,33,17.7,26.2,17.3125,25.199999,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8507,Australia,Northern Territory,-13.516466,132.458238,Arnhem Plateau,Alligator,1294,113,1307,106.972404,21.3,10,27.8,22.2,27.570833,19.8,0.47,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Tropical eucalypt woodlands/grasslands,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,Tropical eucalypt woodlands/grasslands
102.100.100/16007,Australia,Tasmania,-42.27962,147.46838,Tasmanian South East,South East,514,14,523,15.553379,14.2,47,10.5,21.4,10.604167,21.9,0.61,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/12430,Australia,Tasmania,-42.1685,148.2641,Tasmanian South East,South East,654,16,,,13.8,46,12.9,17.2,,,0.68,Casuarina,Primarily Non-Vegetated Waterbodies Water,Casuarina forests and woodlands,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,Casuarina forests and woodlands
102.100.100/7083,Australia,Western Australia,-32.820033,116.413633,Jarrah Forest,Northern Jarrah Forest,741,73,738,73.90136,17.9,38,15.5,27.1,16.120832,26.199999,0.56,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/15971,Australia,Tasmania,-42.3985,147.0791,Tasmanian South East,South East,547,16,623,16.581795,14,48,9.9,22,10.008333,21.3,0.67,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/8116,Australia,Western Australia,-34.167694,119.575694,Esperance Plains,Fitzgerald,531,41,536,37.759174,17.1,39,16.7,19.6,16.258333,17.7,0.42,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,
102.100.100/139597,Australia,Western Australia,-31.049602,117.330236,Avon Wheatbelt,Merredin,310,52,310,50.72191,19.7,34,18.6,29.1,18.570833,27.900002,0.24,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Inland aquatic - freshwater, salt lakes and lagoons"
102.100.100/13278,Australia,Tasmania,-39.65086,143.97275,King,King,881,36,950,39.646004,14.2,50,13.6,13.3,13.65,14.4,0.75,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Low closed forests and closed shrublands
102.100.100/12818,Australia,Queensland,-16.102983,145.447217,Wet Tropics,Daintree-Bloomfield,3135,81,3613,68.53576,18.2,18,24.6,13.6,24.075,12.800001,0.83,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/401588,Australia,New South Wales,-33.79696,150.67108,Sydney Basin,Cumberland,801,36,860,34.151703,17,33,17.4,26.2,17.1375,24.4,0.57,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/15867,Australia,Queensland,-13.82992,143.09857,Cape York Peninsula,Coen-Yambo Inlier,1199,124,1327,118.16845,19.9,17,25.9,17.4,25.875,16.999998,0.46,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/8150,Australia,Australian Capital Territory,-35.876933,149.01025,South Eastern Highlands,Murrumbateman,662,16,725,14.849376,16.6,38,9.5,26.3,9.345833,26.1,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/8126,Australia,Western Australia,-33.809528,119.434528,Esperance Plains,Fitzgerald,421,30,423,28.574764,17.6,37,15.9,22.1,15.779167,22,0.34,Eucalypt Mallee Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/12838,Australia,Queensland,-27.632688,153.083025,South Eastern Queensland,Moreton Basin,1043,43,1197,44.52569,17.9,25,20.2,22.2,20.125,21.9,0.71,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/12884,Australia,Victoria,-36.673214,145.029247,Victorian Midlands,Goldfields,524,24,582,21.44046,16.5,44,14.8,27.7,14.933333,25.9,0.52,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/8517,Australia,Northern Territory,-12.8649,132.78996,Pine Creek,Pine Creek,1404,113,1452,112.01053,21.2,10,28.2,20.4,27.858334,18,0.48,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tropical eucalypt woodlands/grasslands,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,Tropical eucalypt woodlands/grasslands
102.100.100/12513,Australia,New South Wales,-30.201823,149.597007,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8269,Australia,Victoria,-35.12282,141.99678,Murray Darling Depression,Murray Mallee,316,26,350,20.18036,17.8,40,16.5,28,16.483334,27.199999,0.3,Eucalypt Mallee Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings",Mallee Woodlands and Shrublands,Mallee  with an open shrubby understorey,Mallee woodlands and shrublands
102.100.100/19491,Australia,New South Wales,-33.60617,150.73035,Sydney Basin,Cumberland,821,37,843,33.121967,17.1,33,17.7,26.2,17.329166,25.2,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/138529,Australia,Tasmania,-40.998746,147.061407,Furneaux,Flinders,726,27,785,31.884417,14.2,49,13.2,17.5,13.2375,16.5,0.7,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Heathlands,Heathlands,Eucalypt tall open forests
102.100.100/138591,Australia,Northern Territory,-14.10286,136.584113,Arnhem Coast,Groote,1129,107,1163,106.57144,20.9,16,26.5,18.2,26.733334,17.599998,0.49,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/7898,Australia,Western Australia,-34.084868,118.851229,Esperance Plains,Fitzgerald,426,30,414,31.125282,17.4,37,15.8,21.6,15.929167,21.9,0.37,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/139600,Australia,Western Australia,-31.217296,117.869866,Avon Wheatbelt,Merredin,307,48,315,44.757103,19.6,34,18.6,29.2,18.525,28,0.23,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Chenopod shrubs,samphire shrublands and forblands"
102.100.100/12495,Australia,Australian Capital Territory,-35.876683,149.0097,South Eastern Highlands,Murrumbateman,655,16,725,14.849376,16.7,38,9.6,26.4,9.345833,26.1,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/139601,Australia,Western Australia,-31.190272,117.831736,Avon Wheatbelt,Merredin,309,49,317,45.222034,19.6,34,18.6,29.1,18.475,28.1,0.23,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Tussock Grasses,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/401552,Australia,New South Wales,-33.77004,150.86621,Sydney Basin,Cumberland,820,34,873,31.103931,17.1,33,17.6,25,17.591667,23.6,0.59,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/401610,Australia,New South Wales,-33.705,150.45642,Sydney Basin,Wollemi,1169,38,1235,38.20361,16.2,33,14.1,24.6,13.829166,21.7,0.89,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt open forests
102.100.100/139648,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/401670,Australia,New South Wales,-31.4914,144.18282,Murray Darling Depression,Darling Depression,305,19,267,16.92093,19.5,34,19.2,31.3,19.616667,30.300001,0.15,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Acacia shrublands,Acacia Shrublands,Mulga (Acacia aneura) open woodlands and sparse shrublands +/- tussock grass,Acacia shrublands
102.100.100/9530,Australia,South Australia,-33.9569,140.7186,Murray Darling Depression,South Olary Plain,255,27,272,23.30627,18.6,38,17.3,28.5,17.483334,28.399998,0.18,Eucalypt Mallee Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee  with an open shrubby understorey,Mallee woodlands and shrublands
102.100.100/7085,Australia,Western Australia,-32.588867,116.4591,Jarrah Forest,Northern Jarrah Forest,700,74,708,74.951164,18.1,38,15.8,27.3,15.645833,25.2,0.55,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/401566,Australia,New South Wales,-33.69566,150.72525,Sydney Basin,Cumberland,820,37,858,33.61928,17,33,17.6,26,17.366667,24.400002,0.58,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",Eucalypt woodlands
102.100.100/7035,Australia,South Australia,-29.002033,134.685717,Stony Plains,Oodnadatta,161,36,175,25.295048,21.1,30,20.7,30.6,20.283333,29.800001,0.06,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,"Chenopod shrublands, samphire shrubs and forblands","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Chenopod shrubs,samphire shrublands and forblands"
102.100.100/8126,Australia,Western Australia,-33.809528,119.434528,Esperance Plains,Fitzgerald,421,30,423,28.574764,17.6,37,15.9,22.1,15.779167,22,0.34,Eucalypt Mallee Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/12523,Australia,New South Wales,-30.200928,149.597209,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/7918,Australia,Western Australia,-34.303255,118.731283,Esperance Plains,Fitzgerald,454,31,446,33.95715,17.2,37,16,20.3,16.095833,20.8,0.39,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings",Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/401565,Australia,New South Wales,-33.69687,150.71541,Sydney Basin,Cumberland,821,37,863,33.924538,17,33,17.6,26,17.366667,24.5,0.58,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",Eucalypt woodlands
102.100.100/401583,Australia,New South Wales,-33.7347,151.14209,Sydney Basin,Cumberland,1182,29,1316,28.972937,16.3,34,17.3,21.1,16.8875,20.199999,0.84,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/401589,Australia,New South Wales,-33.79639,150.67021,Sydney Basin,Cumberland,801,36,860,34.151703,17,33,17.4,26.2,17.1375,24.4,0.57,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/401562,Australia,New South Wales,-33.61308,150.87949,Sydney Basin,Cumberland,859,35,905,31.606672,17,33,17.7,25.1,17.145834,23.7,0.62,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/19461,Australia,New South Wales,-33.6126,150.73769,Sydney Basin,Cumberland,823,37,850,32.765514,17,33,17.7,26.1,17.333334,25.3,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/19455,Australia,New South Wales,-33.61008,150.73693,Sydney Basin,Cumberland,823,37,850,32.765514,17,33,17.7,26.1,17.333334,25.3,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/138513,Australia,Victoria,-36.56989,141.33691,Murray Darling Depression,Lowan Mallee,463,41,475,35.652916,16.7,43,14.6,26.2,14.308333,25.1,0.47,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Other forests and woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Other forests and woodlands
102.100.100/138531,Australia,Tasmania,-40.991764,147.063393,Furneaux,Flinders,726,27,785,31.884417,14.2,49,13.2,17.5,13.2375,16.5,0.7,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Scattered,,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,
102.100.100/12444,Australia,Tasmania,-42.6831,146.6099,Tasmanian Southern Ranges,Southern Ranges,1424,17,1510,20.789055,11.7,52,6.3,17.5,6.054167,16.9,1,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Heathlands,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",Heathlands
102.100.100/12588,Australia,South Australia,-35.28922,139.02281,Murray Darling Depression,Murray Mallee,386,35,397,30.29669,17.5,41,16,21.9,16.15,22.8,0.35,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/19473,Australia,New South Wales,-33.62075,150.73423,Sydney Basin,Cumberland,821,37,850,33.182266,17.1,33,17.7,26.1,17.325,25.3,0.58,Other native forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",Eucalypt woodlands
102.100.100/7882,Australia,Western Australia,-34.11782,118.76062,Esperance Plains,Fitzgerald,432,30,417,31.491833,17.4,37,15.6,21.5,15.7,21.5,0.38,Eucalypt Mallee Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,Mallee woodlands and shrublands,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/15975,Australia,Tasmania,-42.27335,146.89476,Tasmanian South East,South East,640,17,713,17.986122,13.7,48,8.9,21.6,9.466666,22.3,0.78,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/138526,Australia,Tasmania,-40.999369,147.061171,Furneaux,Flinders,726,27,785,31.884417,14.2,49,13.2,17.5,13.2375,16.5,0.7,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Heathlands,Heathlands,Eucalypt tall open forests
102.100.100/7083,Australia,Western Australia,-32.820033,116.413633,Jarrah Forest,Northern Jarrah Forest,741,73,738,73.90136,17.9,38,15.5,27.1,16.120832,26.199999,0.56,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/7898,Australia,Western Australia,-34.084868,118.851229,Esperance Plains,Fitzgerald,426,30,414,31.125282,17.4,37,15.8,21.6,15.929167,21.9,0.37,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/19469,Australia,New South Wales,-33.62103,150.73385,Sydney Basin,Cumberland,821,37,850,33.182266,17.1,33,17.7,26.1,17.325,25.3,0.58,Other native forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",Eucalypt woodlands
102.100.100/8263,Australia,Victoria,-35.11641,141.97633,Murray Darling Depression,Murray Mallee,311,26,346,20.255117,17.9,40,16.6,28,16.533333,27.4,0.29,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/139655,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/12566,Australia,Australian Capital Territory,-35.876933,149.01025,South Eastern Highlands,Murrumbateman,662,16,725,14.849376,16.6,38,9.5,26.3,9.345833,26.1,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/15967,Australia,Tasmania,-42.80744,147.4391,Tasmanian South East,South East,482,16,537,16.675825,14,47,12.6,19.2,12.4625,19.7,0.55,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/12481,Australia,New South Wales,-32.526047,142.219292,Darling Riverine Plains,Menindee,256,19,270,18.548506,19.2,36,18.8,30.5,18.533333,27.7,0.13,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Open Tussock Grasses,"Chenopod shrublands, samphire shrubs and forblands",Unknown/no data,Unknown/No data,"Chenopod shrubs,samphire shrublands and forblands"
102.100.100/12882,Australia,Northern Territory,-13.52115,134.50615,Central Arnhem,Wilton,1130,113,1025,112.55765,21.2,13,26.8,20.4,26.949999,22.899998,0.46,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus open forest,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt open forests
102.100.100/8152,Australia,Australian Capital Territory,-35.874867,149.01088,South Eastern Highlands,Murrumbateman,662,16,696,15.965281,16.6,38,9.5,26.3,9.604167,26.5,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/12816,Australia,Queensland,-16.103417,145.447883,Wet Tropics,Daintree-Bloomfield,3135,81,3613,68.53576,18.2,18,24.6,13.6,24.075,12.800001,0.83,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/138590,Australia,Northern Territory,-14.10286,136.584113,Arnhem Coast,Groote,1129,107,1163,106.57144,20.9,16,26.5,18.2,26.733334,17.599998,0.49,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/401571,Australia,New South Wales,-33.75353,151.06242,Sydney Basin,Cumberland,1051,31,1131,29.215536,16.6,34,17.4,22.3,17.170834,21.2,0.78,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Tall Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt open forests
102.100.100/8160,Australia,Northern Territory,-25.351,131.041,Great Sandy Desert,Mackay,292,48,313,45.5343,21.9,24,21.2,34.8,21.575,33.6,0.11,Acacia,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
