Organelle type	GenBank accession	GenBank submission date	GenBank submitter	RefSeq accession	Organism taxid	Organism common name	Organism name	Bioproject accession	Length	Topology	Gene count
Chloroplast	MG897303.1	2018-02-03	Northwest University	NC_039614.1	196513		Pinus squamata		117327	Circular	114
Chloroplast	MG897304.1	2018-02-03	Northwest University	NC_039615.1	71644		Pinus parviflora		120724	Circular	114
Chloroplast	MG897305.1	2018-02-03	Northwest University	NC_039616.1	139307		Pinus morrisonicola		116636	Circular	114
Chloroplast	MH394348.1	2018-05-14	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039619.1	2184936		Panicum incomtum		139999	Circular	130
Chloroplast	MH394352.1	2018-05-14	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039620.1	590039		Phoebe neurantha		152782	Circular	126
Chloroplast	MH394360.1	2018-05-14	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039621.1	92927		Sarcandra glabra		158900	Circular	130
Chloroplast	MH394376.1	2018-05-15	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039622.1	41782		Holboellia latifolia		157818	Circular	130
Chloroplast	MH394383.1	2018-05-15	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039623.1	640776		Macleaya microcarpa		161118	Circular	130
Chloroplast	MH394387.1	2018-05-15	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039624.1	106572		Malus yunnanensis		160067	Circular	129
Chloroplast	MH394399.1	2018-05-15	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039625.1	248848		Meconopsis racemosa		153763	Circular	129
Chloroplast	MH394403.1	2018-05-16	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039626.1	674062		Camellia gymnogyna		156590	Circular	130
Chloroplast	MH394411.1	2018-05-16	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039627.1	146539		Chloranthus erectus		157852	Circular	130
Chloroplast	MH394427.1	2018-05-16	Kunming Institute of Botany, Chinese Academy of Sciences	NC_039628.1	2184935		Hodgsonia macrocarpa		156146	Circular	129
Chloroplast	MH028739.1	2018-03-05	Lab. of Functional plants	NC_039634.1	1304680		Lonicera insularis		155124	Circular	130
Chloroplast	MH028740.1	2018-03-05	Lab. of Functional plants	NC_039635.1	1503374		Lonicera praeflorens		154892	Circular	130
Chloroplast	MH028741.1	2018-03-05	Lab. of Functional plants	NC_039636.1	51255	Amur honeysuckle	Lonicera maackii		155318	Circular	130
Chloroplast	MH028742.1	2018-03-06	Lab. of Functional plants	NC_039637.1	2306360		Lonicera sachalinensis		155123	Circular	130
Chloroplast	MH028743.1	2018-03-06	Lab. of Functional plants	NC_039638.1	486690		Lonicera vesicaria		155182	Circular	128
Chloroplast	MH324744.1	2018-05-08	Forestry College	NC_039644.1	224740		Juniperus sabina		127739	Circular	119
Chloroplast	MH382827.1	2018-05-23	College of Traditional Chinese Medicine	NC_039645.1	147926		Camellia nitidissima		157247	Circular	134
Chloroplast	MH042532.1	2018-03-08	Hunan City University	NC_039647.1	637485		Artemisia selengensis		151215	Circular	133
Chloroplast	MG989277.1	2018-02-25	Central South University of Forestry and Technology	NC_039650.1	3570	clove pink	Dianthus caryophyllus		147604	Circular	123
Chloroplast	MG976805.1	2018-02-21	Xinjiang Normal University	NC_039651.1	112879		Lycium ruthenicum	PRJNA434342	154996	Circular	130
Chloroplast	MG733988.1	2017-12-27	Northwest university	NC_039653.1	210377		Hemsleya lijiangensis		158275	Circular	133
Chloroplast	MG589640.1	2017-11-28	University of Macau	NC_039654.1	39358	self-heal	Prunella vulgaris		151342	Circular	132
Chloroplast	MH053150.1	2018-03-12	Lomonosov Moscow State University	NC_039661.1	166818		Allium paradoxum		145819	Circular	133
Chloroplast	MH074865.1	2018-03-16	Korea institute of oriental medicine	NC_039668.1	398306		Dipsacus japonicus		160371	Circular	132
Chloroplast	MH177871.1	2018-04-06	Zhejiang University	NC_039672.1	167570		Croomia japonica	PRJNA448379	154672	Circular	134
Chloroplast	MH191379.1	2018-04-11	Zhejiang University	NC_039673.1	49664		Croomia heterosepala	PRJNA448379	154407	Circular	134
Chloroplast	MH191380.1	2018-04-11	Zhejiang University	NC_039674.1	101609		Croomia pauciflora	PRJNA448379	155261	Circular	134
Chloroplast	MH191381.1	2018-04-11	Zhejiang University	NC_039675.1	85282		Stemona japonica	PRJNA449184	154224	Circular	134
Chloroplast	MH191382.1	2018-04-11	Zhejiang University	NC_039676.1	448267		Stemona mairei	PRJNA449184	154307	Circular	134
Chloroplast	MG234280.1	2017-10-20	Zhejiang University	NC_039677.1	63353		Ranzania japonica	PRJNA407074	169224	Circular	145
Chloroplast	MH045156.1	2018-03-08	Binzhou University	NC_039678.1	2079031		Echinacanthus longzhouensis		152385	Circular	132
Chloroplast	MH499248.1	2018-06-18	University of Toronto	NC_039679.1	48537		Aphyllon fasciculatum		106796	Circular	91
Chloroplast	MG664797.1	2017-12-10	Smithsonian Institution	NC_039680.1	96939	riverbank grape	Vitis riparia	PRJNA878535	160972	Circular	130
Chloroplast	MG664807.1	2017-12-10	Smithsonian Institution	NC_039681.1	345149		Vitis tiliifolia	PRJNA878535	160956	Circular	130
Chloroplast	MG664826.1	2017-12-10	Smithsonian Institution	NC_039682.1	754098		Vitis girdiana	PRJNA878535	160950	Circular	130
Chloroplast	MG664837.1	2017-12-10	Smithsonian Institution	NC_039683.1	390140		Vitis bryoniifolia	PRJNA878535	160942	Circular	130
Chloroplast	MG664841.1	2017-12-10	Smithsonian Institution	NC_039684.1	2983818		Vitis berlandieri	PRJNA878535	160968	Circular	130
Chloroplast	KY083057.1	2016-11-04	Beijing Forestry University	NC_039690.1	748702		Clematis loureiroana		159624	Circular	137
Chloroplast	MG805607.1	2018-01-16	IRD	NC_039691.1	167584		Dioscorea dumetorum		152475	Circular	130
Chloroplast	MH559320.1	2018-07-02	National Research Council of Italy	NC_039692.1	40320		Capsicum baccatum var. pendulum	PRJNA416307	157144	Circular	131
Chloroplast	MH559324.1	2018-07-02	National Research Council of Italy	NC_039693.1	165788		Capsicum baccatum var. baccatum	PRJNA416307	157053	Circular	131
Chloroplast	MH559325.1	2018-07-02	National Research Council of Italy	NC_039694.1	113210		Capsicum pubescens	PRJNA416307	157390	Circular	131
Chloroplast	MH559330.1	2018-07-02	National Research Council of Italy	NC_039695.1	241756		Capsicum baccatum var. praetermissum	PRJNA416307	157056	Circular	131
Chloroplast	MG792141.1	2018-01-12	Old Dominion University	NC_039703.1	264939		Isoetes mattaponica		145065	Circular	136
Chloroplast	MG189543.1	2017-10-09	Kyungpook National University	NC_039704.1	75067		Rubus crataegifolius		155714	Circular	131
Chloroplast	MG267382.1	2017-10-25	China Academy of Chinese Medical Sciences	NC_039707.1	55571		Dioscorea alata		153161	Circular	124
Chloroplast	MG267383.1	2017-10-25	China Academy of Chinese Medical Sciences	NC_039708.1	35874		Dioscorea bulbifera		153075	Circular	124
Chloroplast	MF686120.1	2017-08-21	Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences	NC_039718.1	128653		Neocinnamomum mekongense		150842	Circular	127
Chloroplast	MH237601.1	2018-04-20	University of Toronto	NC_039719.1	48517		Pholisma arenarium		81198	Circular	80
Chloroplast	MH237602.1	2018-04-20	University of Toronto	NC_039720.1	111108		Lennoa madreporoides		83675	Circular	82
Chloroplast	MG953517.1	2018-02-14	Utah State University	NC_039724.1	414607		Myriopteris covillei		155548	Circular	132
Chloroplast	MG967555.1	2018-02-19	Shenyang Agricultural University	NC_039725.1	103484		Quercus dentata		161250	Circular	134
Chloroplast	MH118117.1	2018-03-26	Kunming Institute of Botany	NC_039726.1	63051		Aphananthe aspera		157687	Circular	129
Chloroplast	MH118119.1	2018-03-26	Kunming Institute of Botany	NC_039727.1	1184750		Celtis biondii		159001	Circular	131
Chloroplast	MH118120.1	2018-03-26	Kunming Institute of Botany	NC_039728.1	63056		Chaetachme aristata		157939	Circular	128
Chloroplast	MH118121.1	2018-03-26	Kunming Institute of Botany	NC_039729.1	63060		Gironniera subaequalis		157807	Circular	130
Chloroplast	MH118122.1	2018-03-26	Kunming Institute of Botany	NC_039730.1	228586		Humulus scandens		153776	Circular	130
Chloroplast	MH118123.1	2018-03-26	Kunming Institute of Botany	NC_039731.1	194264		Lozanella enantiophylla		156711	Circular	129
Chloroplast	MH118124.1	2018-03-26	Kunming Institute of Botany	NC_039732.1	1603294		Parasponia rugosa		157434	Circular	129
Chloroplast	MH118125.1	2018-03-26	Kunming Institute of Botany	NC_039733.1	63062		Pteroceltis tatarinowii		158504	Circular	130
Chloroplast	MH118126.1	2018-03-26	Kunming Institute of Botany	NC_039734.1	63057		Trema orientale		157192	Circular	129
Chloroplast	MH460864.1	2018-06-09	Northwest Agriculture and Forestry University	NC_039735.1	151430		Prunus davidiana		158055	Circular	131
Chloroplast	MG878089.1	2018-01-31	Korea Research Institute of Bioscience and Biotechnology	NC_039740.1	2316892		Chrysosplenium aureobracteatum		153102	Circular	131
Chloroplast	MH006686.2	2018-02-28	Sichuan University	NC_039742.1	1841493		Urophysa rockii		158512	Circular	130
Chloroplast	MH142265.2	2018-03-29	Sichuan University	NC_039743.1	349366		Semiaquilegia adoxoides		158340	Circular	48
Chloroplast	MH142266.2	2018-03-29	Sichuan University	NC_039744.1	432648		Urophysa henryi		158303	Circular	131
Chloroplast	MH074864.1	2018-03-16	Korea institute of oriental medicine	NC_039748.1	516548		Dipsacus asper		160530	Circular	132
Chloroplast	MF996572.1	2017-09-25	Institute of Forestry and Pomology, Academy of Agriculture and Forestry Sciences	NC_039749.1	167379		Castanea seguinii		160862	Circular	122
Chloroplast	MH577299.1	2018-07-03	Universite Laval	NC_039750.1	263836		Leiosporoceros dussii		155956	Circular	130
Chloroplast	MG182696.1	2017-10-10	Sun Yat-sen University	NC_039752.1	99437		Lumnitzera littorea		159687	Circular	130
Chloroplast	MH265124.1	2018-04-25	Boyce Thompson Institute	NC_039753.1	2137820		Hymenophyllum holochilum		142214	Circular	128
Plastid	MH285950.1	2018-05-02	University of Western Ontario	NC_039754.1	51707		Yamagishiella unicocca		300175	Circular	102
Plastid	MH285951.1	2018-05-02	University of Western Ontario	NC_039755.1	51714		Volvox africanus		245738	Circular	101
Plastid	MG873498.1	2018-01-29	Yeungnam University	NC_039756.1	54415		Lamprocapnos spectabilis		188754	Circular	155
Chloroplast	MH121054.1	2018-03-26	Korea Institute of Oriental Medicine	NC_039759.1	112407		Cuscuta pentagona		86380	Circular	97
Chloroplast	MH121055.1	2018-03-26	Korea Institute of Oriental Medicine	NC_039760.1	54711		Conioselinum officinale		148518	Circular	129
Chloroplast	MH045155.1	2018-03-08	Binzhou University	NC_039761.1	1279188		Echinacanthus longipes		152644	Circular	131
Chloroplast	MH045157.1	2018-03-08	Binzhou University	NC_039762.1	1204778		Echinacanthus attenuatus		152672	Circular	129
Chloroplast	MF953831.1	2017-09-11	Kunming Institute of Botany, CAS	NC_039763.1	1472306		Cecropia pachystachya		153925	Circular	129
Chloroplast	MH591108.1	2018-07-03	University of Melbourne	NC_039766.1	2364088		Pedobesia claviformis		75391	Circular	108
Chloroplast	MF993496.1	2017-09-22	Seoul National University	NC_039774.1	2448053		Eclipta alba		151733	Circular	131
Chloroplast	MH293451.1	2018-05-03	Hainan University	NC_039776.1	580341		Dracaena cambodiana		156697	Circular	132
Chloroplast	MH071405.1	2018-03-15	Henan Agricultural University	NC_039781.1	608811		Triaenophora shennongjiaensis		155319	Circular	133
Chloroplast	MG664798.1	2017-12-10	Smithsonian Institution	NC_039782.1	1239141		Vitis rotundifolia var. munsoniana	PRJNA878535	160930	Circular	130
Chloroplast	MG664799.1	2017-12-10	Smithsonian Institution	NC_039783.1	3605		Vitis aestivalis	PRJNA878535	160970	Circular	130
Chloroplast	MG664801.1	2017-12-10	Smithsonian Institution	NC_039784.1	246827		Vitis shuttleworthii	PRJNA878535	160975	Circular	130
Chloroplast	MG664806.1	2017-12-10	Smithsonian Institution	NC_039785.1	153476		Vitis thunbergii	PRJNA878535	160948	Circular	130
Chloroplast	MG664808.1	2017-12-10	Smithsonian Institution	NC_039786.1	754104		Vitis treleasei	PRJNA878535	160954	Circular	130
Chloroplast	MG664809.1	2017-12-10	Smithsonian Institution	NC_039787.1	754105		Vitis vulpina	PRJNA878535	160971	Circular	130
Chloroplast	MG664814.1	2017-12-10	Smithsonian Institution	NC_039788.1	1046264		Vitis retordii	PRJNA878535	160968	Circular	130
Chloroplast	MG664815.1	2017-12-10	Smithsonian Institution	NC_039789.1	228411		Vitis piasezkii	PRJNA878535	160944	Circular	130
Chloroplast	MG664816.1	2017-12-10	Smithsonian Institution	NC_039790.1	2448766		Vitis peninsularis	PRJNA878535	160977	Circular	130
Chloroplast	MG664817.1	2017-12-10	Smithsonian Institution	NC_039791.1	754102		Vitis palmata	PRJNA878535	160981	Circular	130
Chloroplast	MG664820.1	2017-12-10	Smithsonian Institution	NC_039792.1	754101		Vitis monticola	PRJNA878535	160982	Circular	130
Chloroplast	MG664821.1	2017-12-10	Smithsonian Institution	NC_039793.1	103355		Vitis labrusca	PRJNA878535	160976	Circular	130
Chloroplast	MG664822.1	2017-12-10	Smithsonian Institution	NC_039794.1	1051312		Vitis lanata	PRJNA878535	160902	Circular	130
Chloroplast	MG664824.1	2017-12-10	Smithsonian Institution	NC_039795.1	754099		Vitis jacquemontii	PRJNA878535	160904	Circular	130
Chloroplast	MG664825.1	2017-12-10	Smithsonian Institution	NC_039796.1	345147		Vitis heyneana	PRJNA878535	160953	Circular	130
Chloroplast	MG664828.1	2017-12-10	Smithsonian Institution	NC_039797.1	1749390		Vitis doaniana	PRJNA878535	160982	Circular	130
Chloroplast	MG664830.1	2017-12-10	Smithsonian Institution	NC_039798.1	1046261		Vitis cinerea var. floridana	PRJNA878535	160980	Circular	130
Chloroplast	MG664832.1	2017-12-10	Smithsonian Institution	NC_039799.1	2448764		Vitis cinerea var. cinerea	PRJNA878535	160957	Circular	130
Chloroplast	MG664835.1	2017-12-10	Smithsonian Institution	NC_039800.1	754096		Vitis californica	PRJNA878535	161023	Circular	130
Chloroplast	MG664838.1	2017-12-10	Smithsonian Institution	NC_039801.1	1046257		Vitis bloodworthiana	PRJNA878535	160984	Circular	130
Chloroplast	MG664839.1	2017-12-10	Smithsonian Institution	NC_039802.1	1046255		Vitis biformis	PRJNA878535	160970	Circular	130
Chloroplast	MG664840.1	2017-12-10	Smithsonian Institution	NC_039803.1	345145		Vitis betulifolia	PRJNA878535	160940	Circular	130
Chloroplast	MG664842.1	2017-12-10	Smithsonian Institution	NC_039804.1	1755456		Vitis cinerea var. baileyana	PRJNA878535	160978	Circular	130
Chloroplast	MG664844.1	2017-12-10	Smithsonian Institution	NC_039805.1	103353		Vitis arizonica	PRJNA878535	160951	Circular	130
Chloroplast	MG664846.1	2017-12-10	Smithsonian Institution	NC_039806.1	1239137		Vitis aestivalis var. linsecomii	PRJNA878535	160986	Circular	130
Chloroplast	MG267381.1	2017-10-25	China Academy of Chinese Medical Sciences	NC_039807.1	394301		Dioscorea aspersa		153337	Circular	124
Chloroplast	MG267384.1	2017-10-25	China Academy of Chinese Medical Sciences	NC_039808.1	374971		Dioscorea futschauensis		153946	Circular	124
Plastid	MG020108.1	2017-09-30	Instituto de Biologia, Universidad Nacional Autonoma de Mexico	NC_039809.1	71623		Pinus aristata		118422	Circular	114
Chloroplast	MG772639.1	2018-01-09	Northwestern Polytechnical University	NC_039812.1	1088818		Apostasia shenzhenica		151676	Circular	118
Plastid	MH048658.1	2018-03-12	Yunnan Institute of Tropical Crops	NC_039815.1	482283		Musa balbisiana var. balbisiana		169458	Circular	137
Chloroplast	MG662136.1	2017-12-06	College of Life Science, Lanzhou University	NC_039816.1	176866		Ostrya japonica		159231	Circular	123
Chloroplast	MG662149.1	2017-12-06	College of Life Science, Lanzhou University	NC_039817.1	2479193		Ostrya chinensis		159293	Circular	123
Chloroplast	MG792132.1	2018-01-12	Old Dominion University	NC_039821.1	2479787		Isoetes graniticola		145118	Circular	136
Chloroplast	MH706763.1	2018-07-31	Royal Horticultural Society	NC_039825.1	54855		Narcissus poeticus		160099	Circular	132
Chloroplast	MG805602.1	2018-01-16	IRD	NC_039834.1	55570		Dioscorea abyssinica		152552	Circular	130
Chloroplast	MG805605.1	2018-01-16	IRD	NC_039835.1	55572		Dioscorea burkilliana		151908	Circular	130
Chloroplast	MG805606.1	2018-01-16	IRD	NC_039836.1	29710		Dioscorea cayenensis		152367	Circular	130
Chloroplast	MG805609.1	2018-01-16	IRD	NC_039837.1	55576		Dioscorea praehensilis		152466	Circular	130
Chloroplast	MG805613.1	2018-01-16	IRD	NC_039838.1	55578		Dioscorea sansibarensis		152445	Circular	130
Chloroplast	KY120884.1	2016-11-10	Beijing Forestry University	NC_039844.1	748687		Clematis acerifolia		159552	Circular	137
Chloroplast	KY120885.1	2016-11-10	Beijing Forestry University	NC_039845.1	748699		Clematis heracleifolia		159565	Circular	135
Chloroplast	KY120886.1	2016-11-10	Beijing Forestry University	NC_039846.1	231665		Clematis uncinata		159524	Circular	135
Chloroplast	MG805603.1	2018-01-16	IRD	NC_039850.1	2072995		Dioscorea baya		152155	Circular	130
Chloroplast	MG805608.1	2018-01-16	IRD	NC_039851.1	1640672		Dioscorea hirtiflora		152287	Circular	130
Chloroplast	MG805610.1	2018-01-16	IRD	NC_039852.1	329150		Dioscorea preussii		152539	Circular	130
Chloroplast	MG805611.1	2018-01-16	IRD	NC_039853.1	2072996		Dioscorea quartiniana		152172	Circular	129
Chloroplast	MG805612.1	2018-01-16	IRD	NC_039854.1	2072997		Dioscorea sagittifolia		152549	Circular	130
Chloroplast	MG805614.1	2018-01-16	IRD	NC_039855.1	167593		Dioscorea schimperiana		152382	Circular	129
Chloroplast	MG805615.1	2018-01-16	IRD	NC_039856.1	55580		Dioscorea togoensis		152264	Circular	130
Plastid	MG727869.1	2017-12-22	Sungkyunkwan University	NC_039920.1	205396		Capsosiphon fulvescens		111561	Circular	106
Chloroplast	MG682353.1	2017-12-14	Central South University of Forestry and Technology	NC_039924.1	137435		Bencomia exstipulata		152781	Circular	126
Chloroplast	MH348155.1	2018-05-14	Sun Yat-sen University	NC_039925.1	241841		Xylocarpus granatum		159410	Circular	128
Chloroplast	MG386363.1	2017-11-01	Lanzhou University	NC_039930.1	3517		Alnus glutinosa		160770	Circular	131
Chloroplast	MF593790.1	2017-08-02	Chinese Academy of Medical Sciences	NC_039932.1	2051892		Caragana rosea var. rosea		133122	Circular	112
Chloroplast	MG520100.1	2017-11-15	West Virginia University	NC_039933.1	13258		Saruma henryi		159914	Circular	132
Chloroplast	MF977767.1	2017-09-19	LanZhou University	NC_039934.1	12990	European hornbeam	Carpinus betulus		160583	Circular	122
Chloroplast	MF977768.1	2017-09-19	LanZhou University	NC_039935.1	12991	American hornbeam	Carpinus caroliniana		160151	Circular	122
Chloroplast	MF977770.1	2017-09-19	LanZhou University	NC_039936.1	176857		Carpinus fangiana		159222	Circular	121
Chloroplast	MF977771.1	2017-09-19	LanZhou University	NC_039937.1	2306214		Carpinus fargesiana		159484	Circular	122
Chloroplast	MF977772.1	2017-09-19	LanZhou University	NC_039938.1	139404		Carpinus tschonoskii		159505	Circular	122
Chloroplast	MF977773.1	2017-09-19	LanZhou University	NC_039939.1	176864		Carpinus viminea		158681	Circular	120
Chloroplast	MH105018.1	2018-03-21	Fairylake Botanical Garden, Shenzhen & Chinese Academy of Sciences	NC_039941.1	1185390		Magnolia sinostellata		160076	Circular	131
Chloroplast	MF943127.1	2017-09-11	Institute of Botany, Chinese Academy of Sciences	NC_039943.1	593754		Dracaena cochinchinensis		155182	Circular	132
Chloroplast	MH359178.1	2018-05-13	Masaryk University	NC_039952.1	1906384		Biscutella baetica		154138	Circular	132
Chloroplast	MH359179.1	2018-05-13	Masaryk University	NC_039953.1	1906385		Biscutella lyrata		153720	Circular	132
Chloroplast	MH359180.1	2018-05-13	Masaryk University	NC_039954.1	264409		Heldreichia bupleurifolia		153763	Circular	132
Chloroplast	MH359181.1	2018-05-13	Masaryk University	NC_039955.1	283746		Lunaria rediviva		154546	Circular	132
Chloroplast	MH359182.1	2018-05-13	Masaryk University	NC_039956.1	1822399		Ricotia aucheri		154770	Circular	130
Chloroplast	MH359183.1	2018-05-13	Masaryk University	NC_039957.1	1822400		Ricotia carnosula		154328	Circular	130
Chloroplast	MH359184.1	2018-05-13	Masaryk University	NC_039958.1	664052		Ricotia cretica		154188	Circular	132
Chloroplast	MH359185.1	2018-05-13	Masaryk University	NC_039959.1	1822401		Ricotia davisiana		154380	Circular	130
Chloroplast	MH359186.1	2018-05-13	Masaryk University	NC_039960.1	1822402		Ricotia isatoides		153759	Circular	130
Chloroplast	MH359187.1	2018-05-13	Masaryk University	NC_039961.1	664053		Ricotia lunaria		154244	Circular	132
Chloroplast	MG356785.1	2017-10-30	Northwest University	NC_039972.1	2486373		Quercus obovatifolia		160817	Circular	134
Chloroplast	MF980719.1	2017-09-19	National Institute of Forest Science	NC_039973.1	165716		Actinidia rufa		156543	Circular	133
Chloroplast	MH879018.2	2018-09-06	Infoboss	NC_039974.2	2038705		Pseudostellaria okamotoi		149653	Circular	126
Chloroplast	MH105772.1	2018-03-21	Guangxi University	NC_039975.1	122812		Sonneratia alba		153061	Circular	122
Chloroplast	MF990205.1	2017-09-21	National Institute of Biological Resources	NC_039976.1	1035811		Hosta yingeri		156756	Circular	131
Chloroplast	MH277033.1	2018-04-30	Sun Yat-Sen University	NC_039983.1	2486838		Froesiochloa boutelouoides		135905	Circular	124
Chloroplast	MH277034.1	2018-04-30	Sun Yat-Sen University	NC_039984.1	2486839		Rehia nervata		136700	Circular	130
Chloroplast	MH325021.1	2018-05-09	Yulin University	NC_039985.1	66646		Tetraena mongolica		106259	Circular	105
Chloroplast	MG893867.1	2018-02-03	College of Environmental Science and Engineering	NC_039989.1	74647		Rosa multiflora		156592	Circular	136
Chloroplast	MG386365.1	2017-11-01	Lanzhou University	NC_039991.1	109066		Alnus nepalensis		160735	Circular	131
Chloroplast	MG386366.1	2017-11-01	Lanzhou University	NC_039992.1	216994		Betula lenta		160618	Circular	131
Chloroplast	MG386367.1	2017-11-01	Lanzhou University	NC_039993.1	223244		Betula occidentalis		160309	Circular	131
Chloroplast	MG386368.1	2017-11-01	Lanzhou University	NC_039994.1	78630		Betula platyphylla		161349	Circular	131
Chloroplast	MG386369.1	2017-11-01	Lanzhou University	NC_039995.1	216989		Betula populifolia		160263	Circular	131
Chloroplast	MG386370.1	2017-11-01	Lanzhou University	NC_039996.1	38787	downy birch	Betula pubescens		158647	Circular	131
Chloroplast	MG386372.1	2017-11-01	Lanzhou University	NC_039997.1	176859		Carpinus monbeigiana		159450	Circular	131
Chloroplast	MG386373.1	2017-11-01	Lanzhou University	NC_039998.1	80751		Carpinus polyneura		159400	Circular	131
Chloroplast	MG386374.1	2017-11-01	Lanzhou University	NC_039999.1	2035532		Carpinus rupestris		158888	Circular	131
Chloroplast	MG386377.1	2017-11-01	Lanzhou University	NC_040000.1	754787		Ostryopsis intermedia		159213	Circular	131
Chloroplast	MG386378.1	2017-11-03	Lanzhou University	NC_040001.1	176868		Ostryopsis nobilis		160908	Circular	131
Chloroplast	MH117939.1	2018-03-25	Xi'an Botanical Garden of Shaanxi Province(Institute of Botany of Shaanxi Province)	NC_040002.1	862990		Fargesia qinlingensis		139640	Circular	130
Chloroplast	MH348156.1	2018-05-14	Sun Yat-sen University	NC_040009.1	459165		Swietenia mahagoni		159276	Circular	129
Chloroplast	KY987160.1	2017-04-25	Beijing Forestry University	NC_040106.1	1779285		Acer sino-oblongum		157121	Circular	137
Chloroplast	MG710387.1	2017-12-20	Tianjin University of Science and Technology	NC_040110.1	99064		Ismelia carinata		149752	Circular	132
Chloroplast	MH181178.1	2018-04-08	University of Alabama	NC_040111.1	79824		Andropogon gerardi		139712	Circular	129
Chloroplast	MH181202.1	2018-04-08	University of Alabama	NC_040112.1	106892		Hyparrhenia variabilis		139481	Circular	129
Chloroplast	MH394334.1	2018-05-28	Korea University	NC_040113.1	497687		Croton tiglium		150021	Circular	122
Chloroplast	MH029822.1	2018-03-06	Chinese Academy of Forestry	NC_040116.1	124780		Kadsura coccinea		145413	Circular	116
Chloroplast	MH261357.1	2018-04-26	Korea National Arboretum	NC_040121.1	1986522		Salvia chanryoenica		151689	Circular	131
Chloroplast	MH180258.1	2018-04-09	SCU	NC_040122.1	357851		Angelica laxifoliata		147026	Circular	129
Chloroplast	KX889393.1	2016-09-21	Chinese Academy of Forestry	NC_040125.1	151332		Prunus mira		158153	Circular	131
Chloroplast	MG710386.1	2017-12-20	Tianjin University of Science and Technology	NC_040126.1	415155		Aster indicus		152885	Circular	132
Chloroplast	MH181174.1	2018-04-08	University of Alabama	NC_040127.1	1092577		Andropogon gayanus		138675	Circular	129
Chloroplast	MH181176.1	2018-04-08	University of Alabama	NC_040128.1	977929		Andropogon greenwayi		138831	Circular	129
Chloroplast	MH181188.1	2018-04-08	University of Alabama	NC_040129.1	798276		Andropogon ascinodis		138841	Circular	129
Chloroplast	MH181235.1	2018-04-08	University of Alabama	NC_040130.1	330570		Schizachyrium cirratum		139692	Circular	129
Chloroplast	MH660709.1	2018-07-21	University of Alabama	NC_040131.1	883134		Bothriochloa decipiens		138381	Circular	129
Chloroplast	MH705066.1	2018-07-30	University of Warmia and Mazury in Olsztyn	NC_040133.1	209793		Gymnomitrion concinnatum		120994	Circular	133
Chloroplast	MG835449.1	2018-01-24	Korea National Arboretum	NC_040141.1	292912		Corylopsis coreana		159398	Circular	131
Chloroplast	MG836508.1	2018-01-24	Rural Development Administration	NC_040143.1	3567	amaranth	Amaranthus caudatus		150523	Circular	129
Chloroplast	MH535482.1	2018-06-26	Zhejiang Sci-Tech University	NC_040144.1	124782		Kadsura longipedunculata		149288	Circular	131
Chloroplast	MH588512.1	2018-07-09	University of British Columbia	NC_040160.1	72643		Anigozanthos flavidus		137426	Circular	113
Chloroplast	MH118290.1	2018-03-23	Lab. of Functional Plants	NC_040164.1	112568		Lycoris squamigera		158459	Circular	133
Chloroplast	MK111409.1	2018-10-30	InfoBoss Co., Ltd.	NC_040167.1	296031		Nymphaea capensis		159998	Circular	130
Chloroplast	MK020147.1	2018-09-30	Northwest A&F University	NC_040170.1	106556		Malus hupehensis		160065	Circular	131
Chloroplast	MH173070.1	2018-04-05	Utah State University	NC_040171.1	451078		Pentagramma triangularis		153445	Circular	130
Chloroplast	MH173071.1	2018-04-05	Utah State University	NC_040172.1	1803730		Adiantum tricholepis		150470	Circular	130
Chloroplast	MH173072.1	2018-04-05	Utah State University	NC_040173.1	2305849		Hemionitis subcordata		165631	Circular	130
Chloroplast	MH173078.1	2018-04-05	Utah State University	NC_040174.1	451084		Cheilanthes micropteris		157257	Circular	131
Chloroplast	MH173085.1	2018-04-05	Utah State University	NC_040175.1	474354		Vaginularia trichoidea		147102	Circular	126
Chloroplast	MH173087.1	2018-04-05	Utah State University	NC_040176.1	1604141		Antrophyum semicostatum		150274	Circular	127
Chloroplast	MH319943.1	2018-05-09	Sun Yat-sen University	NC_040177.1	493391		Leptochilus hemionitideus		156083	Circular	131
Chloroplast	MF459662.1	2017-07-07	University of Manchester	NC_040178.1	4102		Petunia x hybrida		156575	Circular	131
Chloroplast	MH173066.1	2018-04-05	Utah State University	NC_040202.1	414665		Hemionitis truncata		150713	Circular	130
Chloroplast	MH173067.1	2018-04-05	Utah State University	NC_040203.1	414630		Notholaena standleyi		159556	Circular	131
Chloroplast	MH173068.1	2018-04-05	Utah State University	NC_040204.1	13821	Chinese brake	Pteris vittata		149424	Circular	128
Chloroplast	MH173069.1	2018-04-05	Utah State University	NC_040205.1	32172	Japanese claw fern	Onychium japonicum		150156	Circular	128
